freq_hz,spl_db
47.1823,54.595
47.5242,55.102
47.8686,55.580
48.2155,56.049
48.5649,56.403
48.9168,56.693
49.2713,56.967
49.6283,57.229
49.9879,57.521
50.3502,57.842
50.7150,57.892
51.0825,57.657
51.4527,57.307
51.8255,56.840
52.2011,56.827
52.5794,57.217
52.9604,57.250
53.3442,57.037
53.7307,57.197
54.1201,57.530
54.5122,57.608
54.9073,57.621
55.3051,57.842
55.7059,58.073
56.1096,58.268
56.5162,58.401
56.9257,58.384
57.3382,58.402
57.7537,58.456
58.1722,58.484
58.5938,58.503
59.0183,58.249
59.4460,58.007
59.8768,57.795
60.3107,58.085
60.7477,58.739
61.1879,57.797
61.6313,56.954
62.0779,56.967
62.5278,57.176
62.9809,57.515
63.4372,56.329
63.8969,55.074
64.3600,53.747
64.8263,53.699
65.2961,54.105
65.7693,54.944
66.2459,54.536
66.7259,53.564
67.2094,52.616
67.6964,52.771
68.1870,53.390
68.6811,53.151
69.1788,53.092
69.6801,53.352
70.1850,54.522
70.6936,54.303
71.2059,54.032
71.7219,54.668
72.2416,55.294
72.7651,55.320
73.2924,54.748
73.8235,54.503
74.3585,54.732
74.8973,54.965
75.4400,54.861
75.9867,55.351
76.5373,56.393
77.0919,57.357
77.6506,57.634
78.2133,58.457
78.7800,58.765
79.3509,59.106
79.9259,59.582
80.5051,59.208
81.0885,58.731
81.6761,58.528
82.2679,58.575
82.8641,58.931
83.4645,60.151
84.0694,60.824
84.6786,61.344
85.2922,61.873
85.9102,62.256
86.5328,62.288
87.1598,62.348
87.7914,61.009
88.4276,59.750
89.0684,59.156
89.7138,59.285
90.3639,59.779
91.0187,59.978
91.6783,59.563
92.3426,59.622
93.0118,59.748
93.6858,59.039
94.3647,58.268
95.0485,57.344
95.7372,56.354
96.4310,55.698
97.1298,55.012
97.8336,54.396
98.5425,53.790
99.2566,53.343
99.9759,53.354
100.7003,53.834
101.4301,54.562
102.1651,55.299
102.9054,56.036
103.6511,56.788
104.4022,57.542
105.1587,57.622
105.9208,57.694
106.6883,58.034
107.4614,58.377
108.2401,58.429
109.0245,58.479
109.8145,58.351
110.6103,58.233
111.4118,58.772
112.2191,59.305
113.0323,59.556
113.8514,59.803
114.6764,59.879
115.5074,59.963
116.3444,60.260
117.1875,60.536
118.0367,60.338
118.8920,60.165
119.7536,60.473
120.6214,60.770
121.4954,60.879
122.3758,60.998
123.2626,61.272
124.1558,61.521
125.0555,61.429
125.9617,61.341
126.8745,61.299
127.7939,61.235
128.7199,60.934
129.6527,60.624
130.5922,60.235
131.5385,59.853
132.4917,59.534
133.4518,59.301
134.4188,59.809
135.3929,60.312
136.3740,60.771
137.3622,61.258
138.3576,61.963
139.3602,62.615
140.3701,62.904
141.3872,63.212
142.4118,63.657
143.4438,64.106
144.4832,64.589
145.5302,65.050
146.5848,65.384
147.6470,65.733
148.7169,66.164
149.7946,66.541
150.8800,66.625
151.9734,66.691
153.0746,66.660
154.1839,66.663
155.3012,66.829
156.4265,66.922
157.5601,66.686
158.7018,66.370
159.8518,65.704
161.0102,65.119
162.1769,64.873
163.3521,64.715
164.5359,64.915
165.7282,65.068
166.9291,65.043
168.1387,64.961
169.3571,64.667
170.5844,64.308
171.8205,63.722
173.0656,63.046
174.3197,62.068
175.5829,61.128
176.8552,60.319
178.1368,59.525
179.4276,58.783
180.7278,58.130
182.0375,57.749
183.3566,57.341
184.6853,56.854
186.0236,56.409
187.3716,56.085
188.7293,55.792
190.0969,55.581
191.4745,55.223
192.8620,54.471
194.2595,54.076
195.6672,54.590
197.0851,55.020
198.5133,55.242
199.9518,55.038
201.4007,53.819
202.8601,53.216
204.3301,54.037
205.8108,54.527
207.3022,54.276
208.8044,54.092
210.3175,54.049
211.8415,53.771
213.3766,52.995
214.9228,52.235
216.4802,51.506
218.0489,50.850
219.6290,50.339
221.2205,50.373
222.8236,51.448
224.4383,52.437
226.0646,53.263
227.7028,53.963
229.3528,54.437
231.0148,54.845
232.6888,55.136
234.3750,55.078
236.0734,54.425
237.7841,54.707
239.5071,56.530
241.2427,57.546
242.9909,57.270
244.7517,57.172
246.5252,57.351
248.3117,57.138
250.1110,56.332
251.9234,55.779
253.7490,55.597
255.5877,55.252
257.4398,54.672
259.3054,54.476
261.1844,54.817
263.0770,55.014
264.9834,55.019
266.9036,55.097
268.8377,55.270
270.7858,55.331
272.7480,55.249
274.7245,55.159
276.7152,55.061
278.7204,54.687
280.7401,53.979
282.7745,53.766
284.8236,54.137
286.8875,54.285
288.9665,54.179
291.0604,53.978
293.1696,53.670
295.2940,53.496
297.4338,53.466
299.5891,53.369
301.7601,53.201
303.9468,52.952
306.1493,52.619
308.3678,52.700
310.6023,53.194
312.8531,53.283
315.1202,52.978
317.4036,52.868
319.7037,52.943
322.0204,53.327
324.3539,53.995
326.7043,54.865
329.0717,55.914
331.4563,56.161
333.8582,55.710
336.2774,55.804
338.7143,56.359
341.1687,56.675
343.6410,56.793
346.1311,57.203
348.6393,57.846
351.1657,58.204
353.7104,58.340
356.2735,58.594
358.8552,58.937
361.4557,59.181
364.0749,59.353
366.7132,59.348
369.3705,59.215
372.0471,58.773
374.7431,58.117
377.4587,57.245
380.1939,56.226
382.9489,55.324
385.7239,54.500
388.5191,53.973
391.3344,53.637
394.1702,53.984
397.0265,54.755
399.9035,54.974
402.8014,54.860
405.7203,54.768
408.6603,54.691
411.6216,54.569
414.6044,54.422
417.6088,54.206
420.6349,53.950
423.6830,53.168
426.7532,52.103
429.8456,51.532
432.9605,51.217
436.0979,50.762
439.2580,50.235
442.4411,50.028
445.6472,49.976
448.8765,49.857
452.1293,49.707
455.4056,49.741
458.7057,49.859
462.0296,49.541
465.3777,49.030
468.7500,48.263
472.1468,47.385
475.5681,46.971
479.0143,46.750
482.4854,47.605
485.9817,48.894
489.5033,49.193
493.0505,49.105
496.6233,49.563
500.2221,50.227
503.8469,49.980
507.4980,49.400
511.1755,49.798
514.8797,50.540
518.6107,51.181
522.3688,51.787
