freq_hz,spl_db
3.6621,45.123
3.6886,45.187
3.7154,45.251
3.7423,45.315
3.7694,45.379
3.7967,45.443
3.8242,45.507
3.8520,45.570
3.8799,45.634
3.9080,45.698
3.9363,45.762
3.9648,45.826
3.9936,45.890
4.0225,45.954
4.0516,46.018
4.0810,46.081
4.1106,46.145
4.1404,46.209
4.1704,46.273
4.2006,46.337
4.2310,46.401
4.2617,46.465
4.2926,46.528
4.3237,46.592
4.3550,46.656
4.3866,46.720
4.4184,46.787
4.4504,46.855
4.4826,46.923
4.5151,46.992
4.5478,47.060
4.5808,47.128
4.6140,47.196
4.6474,47.264
4.6811,47.332
4.7150,47.400
4.7492,47.469
4.7836,47.537
4.8182,47.605
4.8532,47.673
4.8883,47.741
4.9238,47.809
4.9594,47.877
4.9954,47.945
5.0316,48.014
5.0680,48.082
5.1048,48.150
5.1417,48.213
5.1790,48.269
5.2165,48.325
5.2543,48.381
5.2924,48.437
5.3308,48.493
5.3694,48.549
5.4083,48.605
5.4475,48.660
5.4870,48.716
5.5267,48.772
5.5668,48.828
5.6071,48.884
5.6477,48.940
5.6887,48.996
5.7299,49.052
5.7714,49.108
5.8132,49.164
5.8554,49.220
5.8978,49.281
5.9405,49.342
5.9836,49.404
6.0269,49.465
6.0706,49.527
6.1146,49.588
6.1589,49.650
6.2035,49.712
6.2485,49.773
6.2938,49.835
6.3394,49.896
6.3853,49.958
6.4316,50.019
6.4782,50.081
6.5251,50.143
6.5724,50.204
6.6200,50.261
6.6680,50.316
6.7163,50.370
6.7650,50.424
6.8140,50.479
6.8634,50.533
6.9131,50.587
6.9632,50.642
7.0137,50.696
7.0645,50.750
7.1157,50.805
7.1673,50.859
7.2192,50.913
7.2715,50.968
7.3242,51.022
7.3773,51.083
7.4308,51.143
7.4846,51.204
7.5388,51.264
7.5935,51.325
7.6485,51.386
7.7039,51.446
7.7597,51.507
7.8160,51.567
7.8726,51.628
7.9297,51.689
7.9871,51.749
8.0450,51.810
8.1033,51.801
8.1620,51.775
8.2212,51.749
8.2807,51.722
8.3407,51.696
8.4012,51.670
8.4621,51.644
8.5234,51.618
8.5851,51.592
8.6474,51.566
8.7100,51.539
8.7731,51.513
8.8367,51.552
8.9007,51.613
8.9652,51.673
9.0302,51.734
9.0956,51.794
9.1615,51.854
9.2279,51.915
9.2948,51.975
9.3622,52.036
9.4300,52.096
9.4983,52.157
9.5672,52.126
9.6365,52.050
9.7063,51.973
9.7767,51.896
9.8475,51.819
9.9189,51.742
9.9907,51.665
10.0631,51.588
10.1361,51.512
10.2095,51.435
10.2835,51.375
10.3580,51.340
10.4331,51.305
10.5087,51.270
10.5848,51.235
10.6615,51.200
10.7388,51.166
10.8166,51.131
10.8950,51.096
10.9739,51.061
11.0535,51.035
