freq_hz,spl_db
3.6621,41.976
3.6886,41.964
3.7154,41.953
3.7423,41.941
3.7694,41.930
3.7967,41.918
3.8242,41.906
3.8520,41.895
3.8799,41.883
3.9080,41.872
3.9363,41.860
3.9648,41.849
3.9936,41.837
4.0225,41.825
4.0516,41.814
4.0810,41.802
4.1106,41.791
4.1404,41.779
4.1704,41.768
4.2006,41.756
4.2310,41.744
4.2617,41.733
4.2926,41.721
4.3237,41.710
4.3550,41.698
4.3866,41.687
4.4184,41.715
4.4504,41.758
4.4826,41.800
4.5151,41.842
4.5478,41.885
4.5808,41.927
4.6140,41.969
4.6474,42.011
4.6811,42.054
4.7150,42.096
4.7492,42.138
4.7836,42.181
4.8182,42.223
4.8532,42.265
4.8883,42.308
4.9238,42.350
4.9594,42.392
4.9954,42.435
5.0316,42.477
5.0680,42.519
5.1048,42.562
5.1417,42.595
5.1790,42.614
5.2165,42.633
5.2543,42.652
5.2924,42.671
5.3308,42.691
5.3694,42.710
5.4083,42.729
5.4475,42.748
5.4870,42.767
5.5267,42.786
5.5668,42.806
5.6071,42.825
5.6477,42.844
5.6887,42.863
5.7299,42.882
5.7714,42.901
5.8132,42.921
5.8554,42.940
5.8978,42.931
5.9405,42.920
5.9836,42.909
6.0269,42.898
6.0706,42.886
6.1146,42.875
6.1589,42.864
6.2035,42.852
6.2485,42.841
6.2938,42.830
6.3394,42.818
6.3853,42.807
6.4316,42.796
6.4782,42.785
6.5251,42.773
6.5724,42.762
6.6200,42.828
6.6680,42.947
6.7163,43.066
6.7650,43.185
6.8140,43.305
6.8634,43.424
6.9131,43.543
6.9632,43.662
7.0137,43.781
7.0645,43.900
7.1157,44.019
7.1673,44.139
7.2192,44.258
7.2715,44.377
7.3242,44.496
7.3773,44.490
7.4308,44.483
7.4846,44.477
7.5388,44.471
7.5935,44.464
7.6485,44.458
7.7039,44.452
7.7597,44.446
7.8160,44.439
7.8726,44.433
7.9297,44.427
7.9871,44.420
8.0450,44.414
8.1033,44.464
8.1620,44.529
8.2212,44.594
8.2807,44.658
8.3407,44.723
8.4012,44.787
8.4621,44.852
8.5234,44.917
8.5851,44.981
8.6474,45.046
8.7100,45.110
8.7731,45.175
8.8367,45.221
8.9007,45.261
8.9652,45.301
9.0302,45.341
9.0956,45.381
9.1615,45.421
9.2279,45.461
9.2948,45.501
9.3622,45.541
9.4300,45.581
9.4983,45.621
9.5672,45.579
9.6365,45.494
9.7063,45.409
9.7767,45.324
9.8475,45.239
9.9189,45.154
9.9907,45.070
10.0631,44.985
10.1361,44.900
10.2095,44.815
10.2835,44.677
10.3580,44.459
10.4331,44.240
10.5087,44.022
10.5848,43.803
10.6615,43.585
10.7388,43.366
10.8166,43.148
10.8950,42.929
10.9739,42.711
11.0535,42.808
11.1335,42.964
11.2142,43.120
11.2955,43.275
11.3773,43.431
11.4598,43.587
11.5428,43.743
11.6265,43.898
11.7107,44.054
11.7956,44.085
11.8811,44.104
11.9672,44.122
12.0539,44.140
12.1412,44.158
12.2292,44.176
12.3178,44.195
12.4071,44.213
12.4970,44.308
12.5875,44.476
12.6788,44.645
12.7706,44.814
12.8632,44.982
12.9564,45.151
13.0503,45.320
13.1448,45.488
13.2401,46.397
13.3360,47.814
13.4327,49.231
13.5300,50.649
13.6281,52.066
13.7268,53.483
13.8263,54.901
13.9265,56.032
14.0274,54.698
14.1290,53.364
14.2314,52.030
14.3346,50.695
14.4384,49.361
14.5431,48.027
14.6484,46.693
14.7546,47.474
14.8615,48.255
14.9692,49.036
15.0777,49.816
15.1869,50.597
15.2970,51.378
15.4078,51.646
15.5195,50.312
15.6319,48.979
15.7452,47.645
15.8593,46.311
15.9742,44.978
16.0900,43.644
16.2066,43.731
16.3240,44.174
16.4423,44.617
16.5615,45.061
16.6815,45.504
16.8024,45.947
16.9241,45.645
17.0468,44.930
17.1703,44.215
17.2947,43.500
17.4200,42.786
17.5463,42.071
17.6734,42.377
17.8015,43.026
17.9305,43.674
18.0604,44.323
18.1913,44.972
18.3231,45.568
18.4559,45.667
18.5896,45.766
18.7243,45.865
18.8600,45.963
18.9967,46.062
19.1343,46.449
19.2730,46.982
19.4126,47.515
19.5533,48.049
19.6950,48.582
19.8377,48.557
19.9815,47.810
20.1263,47.064
20.2721,46.317
20.4190,45.570
20.5670,45.493
20.7160,46.424
20.8661,47.355
21.0173,48.285
21.1696,49.216
21.3230,49.322
21.4776,48.722
21.6332,48.122
21.7900,47.523
21.9479,46.923
22.1069,46.455
22.2671,46.011
22.4285,45.568
22.5910,45.124
22.7547,44.980
22.9196,45.525
23.0857,46.070
23.2529,46.616
23.4214,47.161
23.5912,47.880
23.7621,48.618
23.9343,49.355
24.1077,50.092
24.2824,50.326
24.4584,50.280
24.6356,50.234
24.8142,50.188
24.9940,50.409
25.1751,50.887
25.3575,51.365
25.5413,51.844
25.7264,52.046
25.9128,51.965
