freq_hz,spl_db
3.6621,39.120
3.6886,39.151
3.7154,39.181
3.7423,39.211
3.7694,39.241
3.7967,39.271
3.8242,39.301
3.8520,39.331
3.8799,39.361
3.9080,39.391
3.9363,39.422
3.9648,39.452
3.9936,39.482
4.0225,39.512
4.0516,39.542
4.0810,39.572
4.1106,39.602
4.1404,39.632
4.1704,39.662
4.2006,39.692
4.2310,39.723
4.2617,39.753
4.2926,39.783
4.3237,39.813
4.3550,39.843
4.3866,39.873
4.4184,39.913
4.4504,39.957
4.4826,40.000
4.5151,40.044
4.5478,40.087
4.5808,40.131
4.6140,40.174
4.6474,40.217
4.6811,40.261
4.7150,40.304
4.7492,40.348
4.7836,40.391
4.8182,40.435
4.8532,40.478
4.8883,40.522
4.9238,40.565
4.9594,40.609
4.9954,40.652
5.0316,40.696
5.0680,40.739
5.1048,40.782
5.1417,40.865
5.1790,41.006
5.2165,41.147
5.2543,41.288
5.2924,41.430
5.3308,41.571
5.3694,41.712
5.4083,41.853
5.4475,41.994
5.4870,42.135
5.5267,42.277
5.5668,42.418
5.6071,42.559
5.6477,42.700
5.6887,42.841
5.7299,42.982
5.7714,43.124
5.8132,43.265
5.8554,43.406
5.8978,43.424
5.9405,43.429
5.9836,43.434
6.0269,43.439
6.0706,43.444
6.1146,43.449
6.1589,43.454
6.2035,43.459
6.2485,43.464
6.2938,43.469
6.3394,43.474
6.3853,43.479
6.4316,43.484
6.4782,43.489
6.5251,43.494
6.5724,43.499
6.6200,43.432
6.6680,43.316
6.7163,43.200
6.7650,43.085
6.8140,42.969
6.8634,42.853
6.9131,42.737
6.9632,42.622
7.0137,42.506
7.0645,42.390
7.1157,42.274
7.1673,42.159
7.2192,42.043
7.2715,41.927
7.3242,41.811
7.3773,41.957
7.4308,42.102
7.4846,42.247
7.5388,42.393
7.5935,42.538
7.6485,42.683
7.7039,42.828
7.7597,42.974
7.8160,43.119
7.8726,43.264
7.9297,43.410
7.9871,43.555
8.0450,43.700
8.1033,43.659
8.1620,43.570
8.2212,43.482
8.2807,43.394
8.3407,43.305
8.4012,43.217
8.4621,43.129
8.5234,43.040
8.5851,42.952
8.6474,42.864
8.7100,42.775
