"Sens Factor =2.0007dB, SERNO: 7021922"
10.054	-5.0725
10.179	-4.9082
10.306	-4.7471
10.434	-4.5892
10.564	-4.4345
10.696	-4.2829
10.829	-4.1343
10.964	-3.9889
11.1	-3.8465
11.238	-3.7070
11.378	-3.5706
11.52	-3.4370
11.663	-3.3064
11.809	-3.1786
11.956	-3.0537
12.104	-2.9316
12.255	-2.8123
12.408	-2.6957
12.562	-2.5818
12.718	-2.4705
12.877	-2.3620
13.037	-2.2560
13.199	-2.1526
13.364	-2.0518
13.53	-1.9534
13.698	-1.8576
13.869	-1.7642
14.042	-1.6732
14.216	-1.5846
14.393	-1.4984
14.573	-1.4145
14.754	-1.3329
14.938	-1.2535
15.124	-1.1763
15.312	-1.1014
15.503	-1.0286
15.696	-0.9579
15.891	-0.8894
16.089	-0.8229
16.289	-0.7584
16.492	-0.6959
16.697	-0.6354
16.905	-0.5768
17.115	-0.5202
17.328	-0.4653
17.544	-0.4124
17.763	-0.3612
17.984	-0.3118
18.208	-0.2642
18.434	-0.2182
18.664	-0.1740
18.896	-0.1314
19.131	-0.0904
19.369	-0.0509
19.611	-0.0130
19.855	0.0233
20.102	0.0582
20.352	0.0916
20.605	0.1236
20.862	0.1543
21.122	0.1835
21.385	0.2115
21.651	0.2381
21.92	0.2635
22.193	0.2877
22.47	0.3107
22.749	0.3325
23.032	0.3532
23.319	0.3728
23.609	0.3914
23.903	0.4089
24.201	0.4254
24.502	0.4409
24.807	0.4555
25.116	0.4692
25.429	0.4820
25.745	0.4940
26.066	0.5052
26.39	0.5156
26.719	0.5253
27.051	0.5343
27.388	0.5426
27.729	0.5502
28.074	0.5572
28.424	0.5637
28.778	0.5696
29.136	0.5750
29.499	0.5799
29.866	0.5843
30.238	0.5883
30.614	0.5920
30.995	0.5953
31.381	0.5982
31.772	0.6009
32.167	0.6033
32.568	0.6055
32.973	0.6075
33.383	0.6093
33.799	0.6110
34.22	0.6127
34.646	0.6142
35.077	0.6157
35.514	0.6124
35.956	0.6117
36.403	0.6135
36.857	0.6174
37.315	0.6233
37.78	0.6308
38.25	0.6397
38.726	0.6496
39.209	0.6605
39.697	0.6719
40.191	0.6836
40.691	0.6953
41.198	0.7063
41.711	0.7158
42.23	0.7230
42.756	0.7266
43.288	0.7258
43.827	0.7197
44.372	0.7081
44.925	0.6915
45.484	0.6706
46.05	0.6468
46.623	0.6214
47.204	0.5961
47.791	0.5725
48.386	0.5516
48.989	0.5339
49.599	0.5197
50.216	0.5087
50.841	0.5006
51.474	0.4950
52.115	0.4913
52.764	0.4892
53.42	0.4883
54.085	0.4887
54.759	0.4900
55.44	0.4919
56.131	0.4935
56.829	0.4943
57.537	0.4933
58.253	0.4899
58.978	0.4836
59.712	0.4743
60.456	0.4623
61.208	0.4477
61.97	0.4308
62.742	0.4120
63.523	0.3917
64.314	0.3704
65.114	0.3483
65.925	0.3257
66.745	0.3028
67.576	0.2796
68.418	0.2564
69.269	0.2330
70.132	0.2098
71.005	0.1870
71.889	0.1653
72.784	0.1454
73.69	0.1277
74.607	0.1124
75.536	0.0997
76.476	0.0897
77.428	0.0822
78.392	0.0764
79.368	0.0710
80.356	0.0654
81.356	0.0587
82.369	0.0507
83.394	0.0411
84.433	0.0302
85.484	0.0185
86.548	0.0066
87.625	-0.0051
88.716	-0.0165
89.82	-0.0274
90.939	-0.0378
92.071	-0.0477
93.217	-0.0572
94.377	-0.0660
95.552	-0.0739
96.742	-0.0805
97.946	-0.0859
99.165	-0.0905
100.4	-0.0942
101.65	-0.0969
102.915	-0.0986
104.196	-0.0996
105.493	-0.1000
106.806	-0.0999
108.136	-0.0994
109.482	-0.0988
110.845	-0.0982
